Term,es,nes,pval,fdr,gene_set_size,matched_size,genes
Wnt signaling pathway_Homo sapiens_hsa04310,0.3899604691707907,1.5934223426181964,0.004106776180698152,0.13893051352082872,142,138,"JUN,SFRP2,SERPINF1,TCF7L1,FZD2,DAAM2,SFRP1,MAPK10,SOX17,CHD8,PRICKLE1,NFATC1,WNT2B,PRICKLE2,MYC,SFRP5,FZD7,FZD10,NFATC4,PLCB1,WNT4,RAC2,NFATC2,CAMK2B,RHOA,WNT9A,FZD3,SFRP4,DAAM1,PRKCB,CUL1,NKD1,CSNK2A2,TCF7,CAMK2G,CSNK1E,WNT11,PPP3CB,RUVBL1,VANGL2,APC2,CCND2,PPP3CA,CCND3,CACYBP,WNT5B,FZD4,BAMBI,TBL1X,SKP1,DVL2,CTNNB1,FOSL1,DVL3,PRKACG,PRKCG,FZD9,DVL1,WNT9B,NFATC3,MMP7,FZD8,SMAD4,PLCB2,CER1,SIAH1,DKK2,CTBP1,WNT7B,WNT1,CXXC4,WNT10B,AXIN1,GPC4,WNT6,FZD6,RAC3,NKD2,RBX1,NOTUM,DKK1,CCND1,BTRC,WNT7A,TP53,FBXW11,GSK3B,TBL1Y,WNT16,MAP3K7,SENP2,INVS,WNT10A,PORCN,PRKACA,SMAD3,PRKCA,SOST,AXIN2,LEF1,CSNK2B,MAPK8,CTNNBIP1,FZD1,MAPK9,ROCK2,WNT2,PLCB3,WIF1,CTBP2,WNT8A,CSNK1A1,CREBBP,FRAT1,EP300,PPP3CC,WNT8B,CAMK2A,LRP5,PPP3R2,APC,CAMK2D,PPP3R1,PLCB4,DKK4,PSEN1,VANGL1,TCF7L2,PPARD,LRP6,WNT5A,CSNK2A1,FZD5,RAC1,TBL1XR1,PRKACB,NLK,FRAT2"
Vitamin digestion and absorption_Homo sapiens_hsa04977,-0.48321971282098575,-1.4842675973783992,0.07661290322580645,0.13945420906567993,24,22,"FOLH1,CUBN,ABCC1,APOA4,APOA1,SLC19A2,PLB1,SLC19A1,APOB,SLC46A1,PNLIP,SLC5A6,GIF,LMBRD1,SCARB1,TCN2,MMACHC,RBP2,SLC19A3,SLC52A3,BTD,SLC23A1"
Fat digestion and absorption_Homo sapiens_hsa04975,-0.5013862649038523,-1.486086289363449,0.08481262327416174,0.1405245966599833,41,39,"PPAP2B,PLA2G5,PLA2G2D,CLPS,AGPAT1,APOA4,MTTP,APOA1,PLA2G2E,ABCA1,PLA2G2A,APOB,DGAT2,CD36,PNLIP,GOT2,ABCG5,PLA2G2F,ABCG8,FABP2,SCARB1,PPAP2A,NPC1L1,CEL,PNLIPRP2,PNLIPRP1,FABP1,SLC27A4,PLA2G1B,PLA2G3,LIPF,DGAT1,MOGAT3,PPAP2C,PLA2G12A,MOGAT2,AGPAT2,PLA2G12B,ACAT2"
Malaria_Homo sapiens_hsa05144,0.6096972451516115,1.6835536402087312,0.012371134020618556,0.14122147137574909,49,47,"THBS2,CCL2,CD81,GYPC,SDC2,PECAM1,CXCL8,HBA1,ICAM1,VCAM1,THBS4,HBB,IL1B,TLR9,ITGB2,SELP,IL6,CD40LG,KLRB1,TGFB1,CR1,ACKR1,TGFB2,ITGAL,CD40,SELE,TGFB3,THBS3,THBS1,IL12A,IL10,TLR2,COMP,HGF,CSF3,GYPB,KLRC4-KLRK1,IFNG,CD36,TLR4,GYPA,LRP1,TNF,MYD88,IL18,SDC1,MET"
Biosynthesis of unsaturated fatty acids_Homo sapiens_hsa01040,-0.5081768042246864,-1.4783929573410746,0.068762278978389,0.14189651306576587,23,22,"PTPLA,FADS1,ELOVL2,ELOVL5,SCD5,FADS2,PTPLAD2,BAAT,HSD17B12,PTPLAD1,TECR,ACOT7,ACOT1,SCD,ELOVL6,ACOT4,ACOX3,ACOX1,PTPLB,HADHA,ACAA1,PECR"
Cholinergic synapse_Homo sapiens_hsa04725,0.4221418333122741,1.7048899517418858,0.002,0.14360374990772865,111,110,"FOS,KCNQ4,FYN,GNAI2,ITPR1,GNAO1,GNGT2,CREB5,ATF4,PIK3CD,GNG7,ACHE,CACNA1C,GNB4,KCNJ12,ADCY4,PLCB1,ADCY5,ADCY3,CHRNA3,CAMK2B,GNG4,AKT3,GNG2,AKT1,GNG11,KCNQ3,CACNA1B,GNB5,PRKCB,GNG10,PIK3R3,CAMK2G,GNG3,CREB3L2,MAP2K1,AKT2,ADCY2,KCNQ5,ADCY7,PIK3CG,PIK3R5,SLC5A7,PRKACG,PRKCG,ADCY8,PIK3CA,CHRNB4,ITPR2,CHRNA4,BCL2,SLC18A3,PIK3R1,JAK2,ADCY1,CHRNB2,PLCB2,KCNJ3,CHRM3,PIK3R2,KCNJ14,KCNQ2,CREB1,CHRM1,GNB1,ADCY9,HRAS,CACNA1S,GNB2,CHRNA6,GNG8,CHRM4,PIK3CB,PRKACA,GNG13,CAMK4,CHRM2,PRKCA,CREB3L3,CACNA1A,KRAS,GNGT1,CHAT,CREB3,CACNA1D,PLCB3,KCNJ6,CHRM5,KCNJ4,GNB3,MAPK3,GNAQ,CAMK2A,KCNQ1,GNAI1,CREB3L4,CREB3L1,CAMK2D,CACNA1F,PLCB4,GNAI3,MAPK1,GNA11,ITPR3,KCNJ2,GNG5,NRAS,PRKACB,GNG12,ADCY6"
Cell adhesion molecules (CAMs)_Homo sapiens_hsa04514,0.4593346212406517,1.5819142034722804,0.05394190871369295,0.14578401122019638,142,137,"SDC2,PTPRM,PECAM1,CD34,JAM2,CADM1,NCAM1,CDH5,ICAM2,CNTN1,NRXN3,ESAM,CADM3,ITGAM,CDH2,CLDN5,ICAM1,L1CAM,HLA-DRA,HLA-DPA1,NEGR1,CD80,HLA-DMA,NRXN2,VCAM1,SDC3,NTNG2,CLDN11,CD2,CD99,NFASC,CNTNAP1,CD276,HLA-DPB1,ITGB2,JAM3,TIGIT,NLGN1,CTLA4,CD4,HLA-DQB1,CD86,SELP,HLA-DMB,CNTN2,CD40LG,SELL,CD226,NRXN1,SIGLEC1,MPZ,CLDN22,ITGAL,CD40,HLA-DRB4,MADCAM1,LRRC4C,SELPLG,CDH15,NLGN4X,SELE,ITGA9,ITGB7,ICOS,CD22,CD274,PVRL1,HLA-DQA1,NLGN2,PDCD1LG2,HLA-DOB,GLG1,CD8B,CD6,PTPRC,HLA-E,ITGA4,ITGAV,CD8A,NTNG1,CD28,HLA-DRB1,PDCD1,VCAN,ITGA8,ICAM3,CLDN20,ITGB1,MAG,CLDN10,LRRC4,HLA-DOA,LRRC4B,CDH3,CLDN14,SPN,ALCAM,PVR,CLDN9,CNTNAP2,CLDN16,NRCAM,VTCN1,CDH4,ITGB8,CLDN18,CLDN6,NCAM2,NLGN3,NEO1,CLDN4,CLDN2,HLA-G,ICOSLG,HLA-F,CLDN8,SDC4,CD58,PVRL2,CLDN1,HLA-C,CLDN19,CLDN15,HLA-B,CLDN17,CLDN23,CLDN3,HLA-A,MPZL1,ITGA6,PTPRF,CLDN7,SDC1,F11R,PVRL3,CDH1,OCLN"
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933,0.49446394256239584,1.8980652499553694,0.0,0.1467483575699417,101,101,"EGR1,JUN,COL1A2,THBD,CCL2,COL4A1,VEGFC,MAPK10,FN1,AGTR1,NFATC1,CXCL8,COL4A2,PIK3CD,ICAM1,PIM1,COL1A1,FIGF,VCAM1,TGFBR2,STAT5A,CDK4,STAT5B,VEGFB,PLCB1,CDC42,IL1B,PLCD4,COL3A1,AKT3,AKT1,IL6,PRKCB,AGER,MMP2,TGFB1,PIK3R3,TGFB2,AKT2,TGFBR1,RELA,SELE,TGFB3,PIK3CG,PIK3R5,MAPK11,COL4A4,PLCG2,CYBB,CDKN1B,PIK3CA,PLCG1,BCL2,PIK3R1,NOS3,COL4A3,SMAD4,JAK2,PLCB2,PIK3R2,STAT3,FOXO1,COL4A6,CCND1,MAPK12,HRAS,COL4A5,SERPINE1,NFKB1,PRKCE,PIK3CB,SMAD3,PRKCA,MAPK8,KRAS,MAPK9,TNF,PLCB3,DIAPH1,MAPK3,VEGFA,BAX,EDN1,PRKCZ,PLCD1,PLCB4,MAPK14,SMAD2,NOX3,MAPK1,IL1A,PLCE1,PRKCD,STAT1,NOX1,NRAS,RAC1,F3,MAPK13,PLCD3,CASP3"
Staphylococcus aureus infection_Homo sapiens_hsa05150,0.6438017076083713,1.7108835638345963,0.0273972602739726,0.15303757289436776,56,51,"C1R,C1S,C3,CFH,C5AR1,ITGAM,CFD,ICAM1,HLA-DRA,HLA-DPA1,C5,HLA-DMA,FCGR3B,FCGR2B,C1QA,C4A,HLA-DPB1,ITGB2,HLA-DQB1,SELP,HLA-DMB,C1QC,C1QB,ITGAL,C3AR1,CFI,HLA-DRB4,SELPLG,FCGR3A,MBL2,C2,FPR2,HLA-DQA1,MASP1,HLA-DOB,FPR1,PTAFR,FPR3,HLA-DRB1,MASP2,IL10,HLA-DOA,FCGR1A,FCGR2C,KRT10,FGG,PLG,FCGR2A,CFB,FCAR,DSG1"
alpha-Linolenic acid metabolism_Homo sapiens_hsa00592,-0.4884838730080658,-1.4584713821799462,0.09586466165413533,0.1575801660908044,25,21,"PLA2G5,PLA2G4D,PLA2G16,FADS2,PLA2G2D,JMJD7-PLA2G4B,PLA2G2E,PLB1,PLA2G4C,PLA2G2A,PLA2G4A,PLA2G6,PLA2G4F,PLA2G2F,PLA2G1B,PLA2G3,ACOX3,PLA2G12A,PLA2G12B,ACOX1,ACAA1"
ECM-receptor interaction_Homo sapiens_hsa04512,0.48132549737298536,1.7554755647809874,0.006237006237006237,0.1582785856647228,82,81,"COL1A2,THBS2,RELN,COL6A3,COL4A1,ITGA5,VWF,LAMC1,ITGA7,COL6A2,FN1,SV2B,ITGA1,LAMB2,LAMA4,COL4A2,COL1A1,THBS4,SV2A,TNC,LAMA2,SPP1,GP5,GP1BA,COL6A6,GP1BB,LAMA5,TNR,CD44,ITGA9,ITGB7,COL6A1,AGRN,THBS3,LAMB1,COL4A4,THBS1,DAG1,ITGA4,ITGAV,COL9A3,SV2C,ITGA8,COL4A3,CD47,HSPG2,COMP,ITGB1,IBSP,LAMA3,LAMC2,ITGA2B,TNXB,COL4A6,COL2A1,COL9A1,COL4A5,GP9,TNN,ITGA10,CD36,ITGB3,GP6,ITGB8,ITGA3,ITGA11,LAMC3,SDC4,COL9A2,ITGB4,ITGB5,LAMA1,LAMB4,COL6A5,CHAD,ITGA6,LAMB3,SDC1,HMMR,ITGB6,ITGA2"
HTLV-I infection_Homo sapiens_hsa05166,0.3796384163931328,1.5656886206371314,0.03067484662576687,0.16053625270426036,258,252,"FOS,EGR1,JUN,ZFP36,FZD2,PDGFRB,ATF3,EGR2,NFATC1,WNT2B,MAP3K14,MYC,PDGFB,ATF4,PIK3CD,ICAM1,HLA-DRA,RRAS,HLA-DPA1,MRAS,FZD7,FZD10,HLA-DMA,RAN,VCAM1,TGFBR2,STAT5A,CDK4,STAT5B,NFATC4,ADCY4,WNT4,ADCY5,SRF,ADCY3,ANAPC7,NFATC2,CD3D,HLA-DPB1,ITGB2,WNT9A,AKT3,NRP1,AKT1,FZD3,HLA-DQB1,XBP1,HLA-DMB,IL6,JAK3,LCK,ANAPC11,TGFB1,POLB,PIK3R3,IL2RA,POLD1,TGFB2,NFKB2,ITGAL,NFYB,CSF2,MAP3K1,WNT11,PPP3CB,CD40,HLA-DRB4,ANAPC2,CRTC3,AKT2,ADCY2,IL2RG,TLN1,TGFBR1,RELA,CD3E,APC2,CCND2,PPP3CA,CCND3,ADCY7,TGFB3,KAT2A,WNT5B,IL2,PIK3CG,PIK3R5,FZD4,XPO1,HLA-DQA1,TCF3,ATM,IKBKB,CREM,CDKN2C,IKBKG,ELK1,HLA-DOB,DVL2,CDKN2A,CTNNB1,CDC16,FOSL1,DVL3,PRKACG,MAP3K3,HLA-E,PDGFRA,ETS1,ADCY8,ANAPC10,TNFRSF1A,FZD9,BUB3,DVL1,PIK3CA,TRRAP,HLA-DRB1,IL15RA,RANBP3,KAT2B,CANX,MYBL2,WNT9B,KAT5,NFATC3,NFKBIA,TP53INP1,PIK3R1,POLE,ANAPC4,FZD8,SMAD4,ADCY1,SLC25A31,POLE3,SPI1,LTBR,CRTC2,WNT7B,ATR,PIK3R2,WNT1,RANBP1,WNT10B,WNT6,MYBL1,CD3G,FZD6,POLD2,CREB1,HLA-DOA,VDAC3,MSX1,CCND1,TBP,POLD3,IL2RB,CDC23,MAD2L1,RELB,CHEK1,WNT7A,ADCY9,HRAS,CALR,TP53,TBPL1,GSK3B,RB1,CHEK2,WNT16,PTTG1,NFKB1,POLE4,TNFRSF13C,CRTC1,WNT10A,PIK3CB,CDC26,PRKACA,E2F3,IL1R1,ANAPC1,ANAPC5,SMAD3,VAC14,ELK4,GPS2,POLE2,PCNA,MAPK8,FZD1,CHUK,KRAS,SLC25A4,LTA,ATF2,SLC25A6,TNF,SLC2A1,WNT2,E2F1,HLA-G,BCL2L1,MSX2,E2F2,HLA-F,WNT8A,CDC27,PTTG2,CREBBP,CDC20,EP300,CDKN1A,PPP3CC,TLN2,WNT8B,VDAC2,BAX,HLA-C,PPP3R2,APC,DLG1,BUB1B,HLA-B,TERT,PPP3R1,ETS2,PDGFA,CCNB2,SMAD2,JAK1,HLA-A,POLD4,MAP2K4,IL15,WNT5A,FDPS,RRAS2,ATF1,CDKN2B,TSPO,IL1R2,MYB,XIAP,NRAS,FZD5,PRKACB,VDAC1,ADCY6,SLC25A5"
Circadian entrainment_Homo sapiens_hsa04713,0.4043512521334877,1.5576246314308924,0.00819672131147541,0.1633643091678081,95,92,"FOS,GUCY1B3,GUCY1A3,GNAI2,RYR3,ITPR1,GNAO1,GNGT2,GNG7,CACNA1C,GNB4,ADCY4,NOS1,PLCB1,ADCY5,GUCY1A2,ADCY3,CAMK2B,GNG4,GNG2,GNG11,RYR2,GNB5,PRKCB,GNG10,CAMK2G,GNG3,ADCY2,ADCY10,PER3,ADCY7,CACNA1H,CACNA1I,KCNJ9,GNAS,ADCYAP1R1,PRKACG,RYR1,PRKCG,ADCY8,CALML6,GRIA2,GRIA1,ADCY1,RASD1,PLCB2,CALM1,KCNJ3,RPS6KA5,CREB1,CALML5,GNB1,ADCY9,PRKG1,GRIA4,GNB2,GRIN2D,GRIN2A,GNG8,MTNR1B,KCNJ5,PRKACA,GNG13,PRKCA,CALML3,PER2,GNGT1,CACNA1D,PLCB3,KCNJ6,NOS1AP,GNB3,GRIN2B,MAPK3,GNAQ,CAMK2A,GNAI1,GRIA3,CAMK2D,GRIN2C,GRIN1,PLCB4,CACNA1G,GNAI3,MAPK1,ITPR3,MTNR1A,PRKG2,GNG5,PRKACB,GNG12,ADCY6"
Rheumatoid arthritis_Homo sapiens_hsa05323,0.5251461070069179,1.715790697044257,0.030364372469635626,0.16486728743316917,90,84,"FOS,JUN,CXCL12,CTSK,CCL2,ATP6V1F,ATP6V0E2,CXCL8,ICAM1,HLA-DRA,ATP6V1H,HLA-DPA1,CD80,HLA-DMA,CCL3,CTSL,TNFSF13B,IL1B,CXCL1,HLA-DPB1,ITGB2,CTLA4,HLA-DQB1,CD86,HLA-DMB,IL6,TGFB1,TEK,TGFB2,ITGAL,CSF2,ATP6V1E2,ATP6V1E1,ANGPT1,HLA-DRB4,ATP6V1C2,ATP6V1G1,LTB,CCL20,TGFB3,HLA-DQA1,TNFSF11,IL23A,HLA-DOB,TCIRG1,ATP6V0E1,MMP3,CD28,HLA-DRB1,ATP6V0D2,TLR2,ATP6V1B1,IL11,ACP5,CCL5,HLA-DOA,ATP6V1G2,FLT1,IFNG,CXCL5,ATP6V0B,TLR4,TNFSF13,IL17A,ATP6V0A4,ATP6V1G3,TNF,ATP6V0A1,ATP6V0C,ATP6V1B2,ATP6V0A2,ATP6V1C1,ATP6AP1,CSF1,VEGFA,CXCL6,MMP1,IL1A,IL15,TNFRSF11A,ATP6V1D,ATP6V1A,ATP6V0D1,IL18"
cGMP-PKG signaling pathway_Homo sapiens_hsa04022,0.4034381191393251,1.7324560595725895,0.005847953216374269,0.16526660269186288,167,164,"PLN,GUCY1B3,RGS2,GUCY1A3,PDE2A,GNAI2,ATP1A2,AGTR1,NFATC1,ATP2B4,ITPR1,MYL9,MEF2B,MRVI1,CREB5,ATF4,PIK3CD,KCNMB1,KCNMB4,MYLK,EDNRA,PPP1R12A,CACNA1C,NFATC4,ADCY4,PLCB1,ADCY5,KCNMA1,KCNMB2,GUCY1A2,SRF,ADCY3,NPR1,NFATC2,ROCK1,ADRB2,SLC8A1,RHOA,AKT3,AKT1,GNA12,KCNJ8,MYLK2,ADRB1,NPR2,MEF2C,ADRA1B,PIK3R3,PPP3CB,CREB3L2,MAP2K1,AKT2,ADCY2,SLC8A2,KCNMB3,PPP3CA,TRPC6,ADCY7,PIK3CG,INS,PIK3R5,ADRA2C,GTF2IRD1,VASP,IRS1,ADCY8,CALML6,PIK3CA,ITPR2,IRS2,MYH7,MEF2A,CNGB1,ADORA1,ATP1A3,IRS4,NFATC3,PIK3R1,NOS3,ADCY1,ATF6B,ATP2B3,SLC25A31,PLCB2,ATP1B2,ATP2B2,GTF2I,CALM1,ATP2A1,PIK3R2,GATA4,PDE5A,ADRA2B,FXYD2,ADRB3,CREB1,VDAC3,OPRD1,PPP1CB,ADORA3,MEF2D,CALML5,SLC8A3,ADCY9,CACNA1S,PRKG1,PRKCE,PIK3CB,PDE3A,ADRA1D,PDE3B,ADRA1A,MAP2K2,CREB3L3,CALML3,EDNRB,SLC25A4,MYLK4,CREB3,ATF2,NPPB,SLC25A6,RAF1,CACNA1D,ROCK2,BDKRB2,PLCB3,KCNU1,ATP2A2,ATP1A4,MAPK3,PPP3CC,GNAQ,VDAC2,MYLK3,GNAI1,PPP1CA,PPP3R2,CREB3L4,ATP1B4,CREB3L1,ATP2A3,ADRA2A,PPP3R1,CACNA1F,PPP1CC,BAD,PLCB4,GNAI3,MAPK1,GNA11,ATP1B1,ATP1B3,ATP1A1,ITPR3,INSR,GNA13,CNGA1,ATP2B1,PPIF,PRKG2,VDAC1,ADCY6,SLC25A5"
Cardiac muscle contraction_Homo sapiens_hsa04260,-0.37971249881116687,-1.442983199491002,0.06589147286821706,0.1669874759837757,78,76,"COX7A1,ATP1A2,TPM1,TNNT2,CACNA2D1,CACNA1C,TPM2,SLC8A1,RYR2,COX3,CACNA2D3,ACTC1,CACNG3,CACNB4,COX8C,CACNB2,CACNG6,COX4I2,TNNC1,COX7B2,COX6A2,MYH7,UQCRB,ATP1A3,MYL3,ATP1B2,SLC9A1,TPM4,CACNG1,SLC9A6,CACNG2,FXYD2,CACNG8,CACNB3,MYL4,TNNI3,CACNA1S,MYL2,COX2,COX7A2L,MYH6,CACNG7,CACNA1D,COX6B2,TPM3,CACNA2D2,ATP2A2,ATP1A4,CACNA2D4,CACNG5,ATP1B4,CACNB1,CACNA1F,UQCRH,CACNG4,COX1,COX8A,ATP1B1,ATP1B3,ATP1A1,UQCR11,COX6B1,UQCRC2,COX7B,CYC1,UQCRC1,COX4I1,COX7A2,UQCR10,UQCRQ,UQCRFS1,COX6A1,COX6C,COX7C,COX5A,COX5B"
B cell receptor signaling pathway_Homo sapiens_hsa04662,0.4777447600698035,1.5361453603349104,0.07991803278688525,0.1679490995506683,73,72,"FOS,JUN,CD81,NFATC1,PIK3CD,RASGRP3,FCGR2B,DAPP1,RAC2,CD79A,NFATC2,MALT1,AKT3,AKT1,PIK3AP1,IFITM1,VAV1,PRKCB,BTK,PTPN6,PIK3R3,CD19,LYN,INPP5D,PPP3CB,MAP2K1,AKT2,GRB2,RELA,PPP3CA,CD72,PIK3CG,CD22,PIK3R5,IKBKB,IKBKG,PLCG2,BCL10,INPPL1,PIK3CA,LILRB3,CR2,NFATC3,NFKBIA,PIK3R1,CD79B,CARD11,NFKBIE,PIK3R2,RAC3,HRAS,GSK3B,BLNK,NFKB1,PIK3CB,MAP2K2,CHUK,KRAS,SOS1,RAF1,SYK,MAPK3,PPP3CC,VAV2,PPP3R2,NFKBIB,PPP3R1,MAPK1,SOS2,NRAS,RAC1,VAV3"
Glycerophospholipid metabolism_Homo sapiens_hsa00564,-0.38073876271422336,-1.444077289126677,0.06476190476190476,0.16917410064496097,95,90,"PPAP2B,PLD4,LPCAT1,PLA2G5,LCAT,AGPAT4,ACHE,ADPRM,DGKB,PLD3,PLA2G4D,PLA2G16,PLA2G2D,DGKE,MBOAT7,LPIN3,AGPAT1,TAZ,JMJD7-PLA2G4B,PNPLA7,CDIPT,GPAT2,PTDSS1,PNPLA6,GPD1,CHKB,PEMT,GNPAT,DGKG,DGKK,DGKI,AGPAT6,PLA2G2E,PLD2,DGKZ,PLB1,PLA2G4C,GPCPD1,ETNK2,LPIN1,DGKD,ETNPPL,PLA2G2A,PTDSS2,PLA2G4A,CEPT1,LPGAT1,PCYT1B,DGKA,DGKH,PHOSPHO1,CHAT,PLA2G6,PLA2G4F,LYPLA2,CDS2,PLA2G2F,EPT1,DGKQ,CRLS1,PCYT2,PLA2G15,PPAP2A,PGS1,LPCAT2,PCYT1A,LPCAT3,CHKA,PLA2G1B,PLA2G3,CDS1,LPCAT4,MBOAT2,GPAM,PPAP2C,CHPT1,LCLAT1,GPD2,AGPAT5,PLA2G12A,AGPAT3,AGPAT2,PLA2G12B,MBOAT1,AGPAT9,LYPLA1,LPIN2,PLD1,GPD1L,ETNK1"
Fructose and mannose metabolism_Homo sapiens_hsa00051,-0.5025305969091545,-1.4378131658890194,0.104,0.16966196891217583,32,30,"AKR1B1,PFKFB3,PFKM,HK1,ALDOC,HK3,PFKP,PFKFB1,KHK,FUK,TPI1,TSTA3,MPI,PMM2,ENOSF1,PFKFB4,SORD,GMPPA,ALDOA,FBP2,HK2,HKDC1,PFKFB2,PMM1,PFKL,ALDOB,FBP1,AKR1B10,GMDS,FPGT"
Vascular smooth muscle contraction_Homo sapiens_hsa04270,0.4479480511656705,1.76864573168992,0.012072434607645875,0.17138111759061048,120,113,"ACTA2,GUCY1B3,GUCY1A3,MYH11,AGTR1,ITPR1,PLA2G5,CALD1,MYL9,MRVI1,ACTG2,RAMP2,KCNMB1,KCNMB4,MYLK,EDNRA,CALCRL,ARHGEF1,PPP1R12A,CACNA1C,ADCY4,PLCB1,ADCY5,KCNMA1,KCNMB2,GUCY1A2,PPP1R14A,ADCY3,NPR1,PRKCH,ROCK1,RAMP1,AVPR1A,PPP1R12B,RHOA,GNA12,MYLK2,RAMP3,NPR2,PRKCB,ARAF,ADRA1B,PLA2G4D,PRKCQ,MAP2K1,ADCY2,PLA2G2D,MYL6B,KCNMB3,PPP1R12C,ADCY7,PTGIR,GNAS,JMJD7-PLA2G4B,PRKACG,PRKCG,ADORA2A,ADCY8,CALML6,ITPR2,MYL6,PLA2G2E,ADCY1,PLA2G4C,PLCB2,CALM1,PPP1CB,CALML5,PLA2G2A,ADCY9,CACNA1S,PRKG1,PLA2G4A,ARHGEF12,PRKCE,ADRA1D,PRKACA,ADRA1A,PRKCA,MAP2K2,BRAF,CALML3,MYLK4,RAF1,CACNA1D,ROCK2,PLA2G6,PLA2G4F,PLCB3,KCNU1,PLA2G2F,MAPK3,GNAQ,MYLK3,PPP1CA,CACNA1F,PPP1CC,PLCB4,AVPR1B,MAPK1,GNA11,ARHGEF11,PLA2G1B,ITPR3,PLA2G3,PRKCD,CYP4A11,GNA13,PLA2G12A,PLA2G12B,PRKACB,ADORA2B,ADCY6"
Salmonella infection_Homo sapiens_hsa05132,0.4067398099764604,1.5375248672517576,0.02771855010660981,0.17141605767574616,86,80,"FOS,JUN,FLNA,KLC1,MAPK10,CXCL8,FLNC,TLR5,CCL3,KLC2,CCL4,WASF1,PLEKHM2,CDC42,IL1B,ROCK1,CXCL1,MYH10,RHOG,PKN3,DYNC1I1,WAS,IL6,DYNC1LI1,CSF2,CXCL2,PFN2,IFNGR1,ARPC1B,RELA,CD14,PFN1,MAPK11,PKN1,DYNC2H1,RAB7B,CXCL3,DYNC1I2,NLRC4,PFN4,ACTB,TJP1,MYH9,ARPC2,MAPK12,IFNG,ARPC5,ARPC3,NFKB1,DYNC1LI2,LBP,TLR4,MAPK8,ARPC5L,MAPK9,ROCK2,NOS2,MAPK3,IFNGR2,ARPC4,MYD88,PKN2,MAPK14,DYNC1H1,MYH14,WASF2,MAPK1,IL1A,KLC4,ARPC1A,CASP1,RILP,KLC3,PYCARD,RAB7A,IL18,RAC1,MAPK13,FLNB,WASL"
Amoebiasis_Homo sapiens_hsa05146,0.3844024386869361,1.53758085165875,0.014830508474576272,0.17732695621628913,100,99,"COL1A2,COL4A1,ACTN1,LAMC1,FN1,LAMB2,CXCL8,LAMA4,COL4A2,ITGAM,PIK3CD,COL1A1,LAMA2,PLCB1,IL1B,CTSG,COL3A1,SERPINB9,CXCL1,ITGB2,HSPB1,IL6,PRKCB,TGFB1,PIK3R3,VCL,LAMA5,TGFB2,CSF2,ACTN3,RELA,TGFB3,GNA14,CD14,PIK3CG,PIK3R5,LAMB1,COL4A4,CD1D,GNAS,RAB7B,PRKACG,PRKCG,PIK3CA,ARG1,IL12A,IL10,PIK3R1,COL4A3,TLR2,ACTN2,ADCY1,GNAL,PLCB2,LAMA3,PIK3R2,SERPINB3,LAMC2,COL4A6,C9,RAB5B,SERPINB10,IFNG,COL4A5,SERPINB6,SERPINB4,NFKB1,SERPINB13,IL12B,PIK3CB,PRKACA,GNA15,IL1R1,TLR4,PRKCA,C8G,C8A,PTK2,ARG2,TNF,PLCB3,NOS2,C8B,RAB5C,LAMC3,GNAQ,LAMA1,LAMB4,PLCB4,ACTN4,GNA11,MUC2,LAMB3,RAB5A,RAB7A,IL1R2,SERPINB1,PRKACB,CASP3"
